epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,540.617,0.24845,1,1,0.0016,0.00047157,0.00047157,0.00047157
2,1257.31,0.00491,1,1,0.00047,0.000635095,0.000635095,0.000635095
3,1553.09,0.00426,1,1,0.00024,0.00048424,0.00048424,0.00048424
